128,34,416,34,416,83,128,83,0.9997409
160,273,384,273,384,293,160,293,0.9997304
32,512,256,512,256,533,32,533,0.99972934
192,384,352,384,352,405,192,405,0.99971515
128,857,336,857,336,879,128,879,0.9996842
32,426,352,426,352,447,32,447,0.9996823
144,327,400,327,400,353,144,353,0.9996797
32,537,112,537,112,560,32,560,0.9996629
32,457,96,457,96,475,32,475,0.9996624
32,693,160,693,160,714,32,714,0.99964523
32,580,128,580,128,602,32,602,0.9996222
224,916,320,916,320,938,224,938,0.99961734
32,485,112,485,112,503,32,503,0.99961156
160,538,496,538,496,560,160,560,0.99959296
384,798,480,798,480,824,384,824,0.99954164
256,717,512,717,512,739,256,739,0.99953866
160,482,336,482,336,502,160,502,0.99952304
160,455,448,455,448,476,160,476,0.9995171
384,951,496,951,496,979,384,979,0.9995003
160,188,384,188,384,210,160,210,0.99949586
208,887,336,887,336,906,208,906,0.9994936
32,1107,496,1107,496,1126,32,1126,0.99949074
160,245,384,245,384,264,160,264,0.999483
384,854,480,854,480,879,384,879,0.9994635
16,801,336,801,336,824,16,824,0.9994493
112,984,320,984,320,1003,112,1003,0.9994449
16,717,160,717,160,738,16,738,0.99942577
224,691,496,691,496,712,224,712,0.9994254
128,216,400,216,400,238,128,238,0.9994248
416,883,480,883,480,906,416,906,0.9994199
176,955,320,955,320,974,176,974,0.9993937
368,914,480,914,480,938,368,938,0.999393
48,1133,480,1133,480,1155,48,1155,0.99938524
96,1008,320,1008,320,1031,96,1031,0.99937063
16,751,352,751,352,773,16,773,0.9993636
400,828,480,828,480,854,400,854,0.9993631
80,300,448,300,448,322,80,322,0.9993388
368,1007,512,1007,512,1060,368,1060,0.999331
208,128,368,128,368,152,208,152,0.9993136
144,829,336,829,336,851,144,851,0.9993106
96,157,432,157,432,180,96,180,0.99927026
